parkrun_summary,
Event,1
Runs,2
Best Gender Position,3
Best Position Overall,4
Best Time,5
Â ,6
Wycombe Rye parkrun,1
72,2
5,3
6,4
00:20:33,5
All,6
Lydiard parkrun,1
40,2
14,3
14,4
00:20:07,5
All,6
Cirencester parkrun,1
29,2
8,3
8,4
00:21:28,5
All,6
Reading parkrun,1
21,2
15,3
17,4
00:20:37,5
All,6
Bedfont Lakes parkrun,1
7,2
9,3
9,4
00:21:16,5
All,6
Seven Fields parkrun,1
6,2
13,3
13,4
00:22:42,5
All,6
Exeter Riverside parkrun,1
4,2
12,3
15,4
00:20:46,5
All,6
Bushy parkrun,1
3,2
47,3
48,4
00:19:46,5
All,6
Parke parkrun,1
3,2
11,3
14,4
00:23:20,5
All,6
Torbay Velopark parkrun,1
3,2
15,3
15,4
00:19:57,5
All,6
Worcester Pitchcroft parkrun,1
2,2
21,3
23,4
00:21:08,5
All,6
Banbury parkrun,1
2,2
20,3
20,4
00:21:53,5
All,6
California Country parkrun,1
1,2
46,3
50,4
00:22:21,5
All,6
Maidenhead parkrun,1
1,2
33,3
37,4
00:23:21,5
All,6
Hereford parkrun,1
1,2
14,3
16,4
00:21:52,5
All,6
Skipton parkrun,1
1,2
19,3
20,4
00:22:56,5
All,6
Crane Park parkrun,1
1,2
115,3
203,4
00:37:21,5
All,6
Worcester parkrun,1
1,2
80,3
87,4
00:22:27,5
All,6
Aberdeen parkrun,1
1,2
27,3
28,4
00:21:29,5
All,6
Fire Service College parkrun,1
1,2
17,3
17,4
00:23:07,5
All,6
Tewkesbury parkrun,1
1,2
6,3
7,4
00:22:14,5
All,6
Perry Hall parkrun,1
1,2
10,3
10,4
00:20:50,5
All,6
Forest Rec parkrun,1
1,2
36,3
38,4
00:24:19,5
All,6
Chippenham parkrun,1
1,2
20,3
21,4
00:22:08,5
All,6
Warrington parkrun,1
1,2
31,3
33,4
00:22:44,5
All,6
Hackney Marshes parkrun,1
1,2
31,3
31,4
00:19:56,5
All,6
Cardiff parkrun,1
1,2
84,3
92,4
00:21:17,5
All,6
Morecambe Prom parkrun,1
1,2
140,3
233,4
00:34:03,5
All,6
Teignmouth Promenade parkrun,1
1,2
20,3
21,4
00:21:38,5
All,6
Burnham and Highbridge parkrun,1
1,2
6,3
6,4
00:20:51,5
All,6
Fell Foot parkrun,1
1,2
22,3
24,4
00:22:22,5
All,6
Homewood parkrun,1
1,2
13,3
13,4
00:23:15,5
All,6
Abingdon parkrun,1
1,2
34,3
34,4
00:21:01,5
All,6
Bracknell parkrun,1
1,2
13,3
13,4
00:22:14,5
All,6
Frimley Lodge parkrun,1
1,2
35,3
35,4
00:21:18,5
All,6
